LIST.ID	AVTOR1	AVTOR2
305	10834516	22479	33171
306	1085796	07110	15839
307	1089147	00814	08007
308	1089147	00814	23437
309	1089147	00814	28388
310	1089147	00814	28510
311	1089147	08007	23437
312	1089147	08007	28388
313	1089147	08007	28510
314	1089147	23437	28388
315	1089147	23437	28510
316	1089147	28388	28510
317	10896980	06856	21310
318	10896980	06856	22479
319	10896980	06856	29551
320	10896980	06856	30155
321	10896980	06856	33172
322	10896980	21310	22479
323	10896980	21310	29551
324	10896980	21310	30155
325	10896980	21310	33172
326	10896980	22479	29551
327	10896980	22479	30155
328	10896980	22479	33172
329	10896980	29551	30155
330	10896980	29551	33172
331	10896980	30155	33172
332	10919176	11666	21821
333	1092201	03324	14962
334	1092201	03324	17837
335	1092201	14962	17837
336	10927705	01395	09573
337	1093215	08302	36254
338	10942553	03342	11660
339	10953817	03430	39660
340	10955353	05485	07083
341	10958876	18866	22430
342	10960412	15631	18866
343	10960412	15631	21366
344	10960412	18866	21366
345	1096276	02114	05158
346	1096825	01467	09085
347	10980891	00800	08782
348	10980891	00800	15839
349	10980891	08782	15839
350	10986791	01342	09087
351	10988316	15631	18866
352	10988316	15631	21366
353	10988316	18866	21366
354	11002201	02115	08947
355	11002713	07083	13317
356	11007833	02301	09990
357	11011868	15500	18866
358	11011868	15500	22430
359	11011868	18866	22430
360	11022169	01931	11716
361	11029019	01698	05474
362	11029019	01698	08005
363	11029019	05474	08005
364	11093019	03430	90881
365	11093275	03430	26533
366	11093531	03430	29546
367	11120156	15500	18866
368	111321	01978	01995
369	111321	01978	06010
370	111321	01978	08205
371	111321	01978	08992
372	111321	01995	06010
373	111321	01995	08205
374	111321	01995	08992
375	111321	06010	08205
376	111321	06010	08992
377	111321	08205	08992
378	11138568	08721	20272
379	11138568	08721	23005
380	11138568	20272	23005
381	11158601	12306	14009
382	11158601	12306	23553
383	11158601	14009	23553
384	1116076	04768	21622
385	1116076	04768	21840
386	1116076	04768	21974
387	1116076	04768	26486
388	1116076	04768	30895
389	1116076	21622	21840
390	1116076	21622	21974
391	1116076	21622	26486
392	1116076	21622	30895
393	1116076	21840	21974
394	1116076	21840	26486
395	1116076	21840	30895
396	1116076	21974	26486
397	1116076	21974	30895
398	1116076	26486	30895
399	11163144	01941	03430
400	11163144	01941	15571
401	11163144	03430	15571
402	11163912	03430	11754
403	11163912	03430	15571
404	11163912	11754	15571
405	11164187	01698	05474
406	11164187	01698	08005
407	11164187	05474	08005
408	1116521	14962	17837
409	1116521	14962	28211
410	1116521	17837	28211
411	1117065	06324	09085
412	1117065	06324	21484
413	1117065	09085	21484
414	11187284	09573	22481
415	11187284	09573	28461
416	11187284	09573	37035
417	11187284	22481	28461
418	11187284	22481	37035
419	11187284	28461	37035
420	11202393	05949	11666
421	11202393	05949	18504
422	11202393	11666	18504
423	11202905	01941	21658
424	11279644	15500	18866
425	11279644	15500	22430
426	11279644	18866	22430
427	11295321	07083	15532
428	11308316	15500	18866
429	11308316	15500	22430
430	11308316	18866	22430
431	11338518	03430	15571
432	11353428	11213	14528
433	11353428	11213	22479
434	11353428	11213	31493
435	11353428	11213	31639
436	11353428	14528	22479
437	11353428	14528	31493
438	11353428	14528	31639
439	11353428	22479	31493
440	11353428	22479	31639
441	11353428	31493	31639
442	11353684	11213	14528
443	11353684	11213	22479
444	11353684	11213	31493
445	11353684	11213	31639
446	11353684	14528	22479
447	11353684	14528	31493
448	11353684	14528	31639
449	11353684	22479	31493
450	11353684	22479	31639
451	11353684	31493	31639
452	11353940	14528	22479
453	11353940	14528	31493
454	11353940	14528	31639
455	11353940	22479	31493
456	11353940	22479	31639
457	11353940	31493	31639
458	11354196	14528	22479
459	11354196	14528	31493
460	11354196	14528	31639
461	11354196	22479	31493
462	11354196	22479	31639
463	11354196	31493	31639
464	11355609	02020	03534
465	11355609	02020	12768
466	11355609	03534	12768
467	11363668	10268	16096
468	11363668	10268	29553
469	11363668	10268	30687
470	11363668	10268	36254
471	11363668	16096	29553
472	11363668	16096	30687
473	11363668	16096	36254
474	11363668	29553	30687
475	11363668	29553	36254
476	11363668	30687	36254
477	11382105	03430	11666
478	11386908	15500	18866
479	11386908	15500	22430
480	11386908	18866	22430
481	11387164	15500	18866
482	11387164	15500	22430
483	11387164	18866	22430
484	11394838	03430	23201
485	11413081	01941	02887
486	11413081	01941	03429
487	11413081	02887	03429
488	11413593	01935	05949
489	11413593	01935	13351
490	11413593	05949	13351
491	11414105	01931	13429
492	11414361	02887	18838
493	11415129	01941	11687
494	11415129	01941	11717
495	11415129	11687	11717
496	11418457	03430	15571
497	11453785	05485	07083
498	11453785	05485	15532
499	11453785	07083	15532
500	11457881	01395	09573
501	11457881	01395	11709
502	11457881	01395	12190
503	11457881	09573	11709
504	11457881	09573	12190
505	11457881	11709	12190
506	1145956	07110	15839
507	11461721	02507	02887
508	11467865	03342	08947
509	11476246	05951	15571
510	11478811	01698	05474
511	11478811	01698	08005
512	11478811	05474	08005
513	11481622	15571	26533
514	11481622	15571	28584
515	11481622	26533	28584
516	11482390	05951	06084
517	11482390	05951	15571
518	11482390	05951	91027
519	11482390	06084	15571
520	11482390	06084	91027
521	11482390	15571	91027
522	11482646	05951	91027
523	11483414	05951	15571
524	11483414	05951	91027
525	11483414	15571	91027
526	11485723	03430	29546
527	11486297	05949	18504
528	11511079	01342	09087
529	11525977	01935	02506
530	11529305	09634	12205
531	11554649	09990	20821
532	1156703	06989	23608
533	115673	02278	03563
534	115673	02278	05318
535	115673	02278	08754
536	115673	02278	08992
537	115673	02278	13156
538	115673	03563	05318
539	115673	03563	08754
540	115673	03563	08992
541	115673	03563	13156
542	115673	05318	08754
543	115673	05318	08992
544	115673	05318	13156
545	115673	08754	08992
546	115673	08754	13156
547	115673	08992	13156
548	11598870	05478	07082
549	11598870	05478	07680
550	11598870	05478	18893
551	11598870	07082	07680
552	11598870	07082	18893
553	11598870	07680	18893
554	116185	03447	04421
555	116185	03447	08992
556	116185	03447	12439
557	116185	03447	14581
558	116185	04421	08992
559	116185	04421	12439
560	116185	04421	14581
561	116185	08992	12439
562	116185	08992	14581
563	116185	12439	14581
564	11620185	09573	11709
565	11625305	01395	08398
566	11625305	01395	09573
567	11625305	01395	11960
568	11625305	08398	09573
569	11625305	08398	11960
570	11625305	09573	11960
571	11656025	01935	05949
572	11683673	01395	11709
573	11686940	18866	22430
574	11699545	05949	18504
575	11708761	05953	18750
576	1175903	08302	24048
577	1175903	08302	36254
578	1175903	24048	36254
579	11773268	07799	18175
580	11773268	07799	28680
581	11773268	18175	28680
582	1178217	03324	10684
583	1178217	03324	14962
584	1178217	03324	17837
585	1178217	10684	14962
586	1178217	10684	17837
587	1178217	14962	17837
588	11814489	05949	08727
589	11814489	05949	16013
