	LIST.ID	LIST.BIBL.UT	LIST.BIBL.EID	LIST.BIBL.AC	LIST.BIBL.CI	LIST.BIBL.CIAU	LIST.BIBL.TC	LIST.BIBL.PUBYEAR	LIST.BIBL.AUPUB	LIST.BIBL.TITLE	LIST.BIBL.VOLUME	LIST.BIBL.ISSUE	LIST.BIBL.PAGES	LIST.BIBL.DOI	LIST.SER.ISSN	LIST.SER.OA	LIST.SER.TITLE	LIST.CODES.RSR.VAL	LIST.CODES.RSR.SCI	LIST.CODES.PRJ.VAL	LIST.CODES.PRJ.SCI	LIST.CODES.PRG.VAL	LIST.CODES.PRG.SCI	LIST.CODES.GRP.VAL	LIST.CODES.GRP.SCI	LIST.CODES.ORG.VAL	LIST.CODES.ORG.SCI	LIST.CODES.UNI.VAL	LIST.CODES.UNI.SCI	LIST.CODES.NOR.VAL	LIST.CODES.NOR.SCI	TEME
21	10178838		2-s2.0-33646912787	0	2	2	2	2006	Rok Straîek	On Euclidean algebra of hermitian operators on a quadratic Hilbert space	Vol. 416	iss. 2-3	str. 580-587	10.1016/j.laa.2005.12.005	0024-3795	sherpa_romeo	Linear Algebra and its Applications	17808	N0101	NA	NA	P1-0288	N01	0101-001,1669-001,7097-001	N0101,N,D04	0101,1669,1988,7097	N01,N,N,D04	UNI-004		NA	NA	matematika, Evklidska algebra, kvaternionski Hilbertov prostor, praalgebra, Jacobson-McCrimmonov operator, spektralna norma, mathematics, Euclidean algebras, quaternionic Hilbert space, ultraprime algebras, Jacobson-McCrimmon operator, spectral norm
22	10205017		2-s2.0-0141552243	9	12	6	21	2000	Aleksandar Juriîi“, Jack H. Koolen	A local approach to 1-homogeneous graphs	Let. 21	NA	str. 127-147	NA	0925-1022	sherpa_romeo	Designs, codes and cryptography	8724	N0104	NA	NA	P1-0285	N01	0101-001,1539-012	N0101,N0104	0101,0510,1539	N01,T0707,T0705	UNI-001		NA	NA	matematika, algebrai”na kombinatorika, teorija grafov, razdaljno regularni grafi, ekvitabilne particije, 1-homogenost, lokalna krepka regularnost, pravilni skoraj poligoni, Terwilligerjevi grafi, mathematics, algebraic combinatorics, distance-regular graphs, equitable partitions, 1-homogeneous, locally strongly-regular graphs, regular near polygons, Terwilliger graphs
23	10215432		2-s2.0-0034479127	0	2	1	2	2000	Aleksander Vesel, Janez Çerovnik	On the linear k-arboricity of cubic graphs	Vol. 75	NA	str. 431-444	NA	0020-7160	sherpa_romeo	International journal of computer mathematics	3430,11666	N01,N0701	J1-8155,J1-9109,N1-0071	N0702,N01,N0103	P1-0285,P1-0297,P2-0248	N01,N01,T10	0101-001,0782-036,2547-003	N0101,N01,N01	0101,0510,0552,0782,2547	N01,T0707,D03,T13,N	UNI-001,UNI-002		NA	NA	matematika, teorija grafov, kubi”ni grafi, linearni gozd, mathematics, graph theory, cubic graphs, linear forest
24	10223961		2-s2.0-0034361260	1	2	2	3	2000	Roman Drnovîek	Hyperinvariant subspaces for operator semigroups with commutators of rank at most one	Vol. 26	no. 3	str. 543-548	NA	0362-1588		Houston journal of mathematics	11709	N0101	J1-8133	N0104	P1-0222	N01	0101-001,1554-001	N0101,N01	0101,0510,1554	N01,T0707,N0201	UNI-001		NA	NA	matematika, teorija operatorjev, hiperinvariantni podprostori, polgrupe, komutatorji, mathematics, operator theory, hyperinvariant subspaces, semigroups, commutators
25	10232153		2-s2.0-0034368948	5	10	5	15	2000	Aleksandar Juriîi“, Jack H. Koolen	Nonexistence of some antipodal distance-regular graphs of diameter four	Vol. 21	no. 8	str. 1039-1046	NA	0195-6698	sherpa_romeo	European journal of combinatorics	8724	N0104	NA	NA	P1-0285	N01	0101-001,1539-012	N0101,N0104	0101,0510,1539	N01,T0707,T0705	UNI-001		NA	NA	matematika, algebrai”na kombinatorika, teorija grafov, razdaljno regularni grafi, neenakosti, tesni grafi, 1-homogenost, lokalna krepka regularnost, antipodnost, neeksistenca, mathematics, algebraic combinatorics, graph theory, distance-regular graphs, inequalities, tight graphs, 1-homogeneous, locally strongly-regularity, nonexistence, antipodality
26	1024053332		2-s2.0-68049089696	6	4	2	10	2009	Klavdija Kutnar, Primoñ Ñparl	Hamilton paths and cycles in vertex-transitive graphs of order 6p	Vol. 309	iss. 17	str. 5444-5460	10.1016/j.disc.2008.12.005	0012-365X	sherpa_romeo	Discrete Mathematics	23341,24997	N0104,N0104	J1-9108,J1-9110,J1-9186,N1-0062	N01,N01,N07,N0104	P1-0285	N01	0101-001,0588-002,1669-001,2790-001	N0101,D0103,N,N03	0101,0510,0588,1669,1988,2790	N01,T0707,D0103,N,N,N01	UNI-001,UNI-004		NA	NA	teorija grafov, tranzitivnost, Hamiltonov cikel, Hamiltonova pot, grupa avtomorfizmov, graph theory, vertex-transitive, Hamilton cycle, Hamilton path, automorphism group
27	1024054100		2-s2.0-68049084814	0	4	2	4	2009	Ñtefko Miklavi”, Primoñ Ñparl	On Hamiltonicity of circulant digraphs of outdegree three	Vol. 309	iss. 17	str. 5437-5443	10.1016/j.disc.2008.12.004	0012-365X	sherpa_romeo	Discrete Mathematics	21656,23341	N0105,N0104	J1-9108,J1-9110,N1-0062	N01,N01,N0104	P1-0285	N01	0101-001,0588-002,1669-001,2790-001	N0101,D0103,N,N03	0101,0510,0588,1669,1988,2790	N01,T0707,D0103,N,N,N01	UNI-001,UNI-004		NA	NA	teorija grafov, Hamiltonov cikel, graph theory, circulant digraph, Hamilton cycle
28	1024054356		2-s2.0-68049086857	0	3	0.99	3	2009	Yong Qin, Wenjun Xiao, Ñtefko Miklavi”	Connected graphs as subgraphs of Cayley graphs	Vol. 309	Issue 17	str. 5426-5431	10.1016/j.disc.2008.11.032	0012-365X	sherpa_romeo	Discrete Mathematics	21656	N0105	J1-9110,N1-0062	N01,N0104	P1-0285	N01	0101-001,1669-001,2790-001	N0101,N,N03	0101,1669,1988,2790	N01,N,N,N01	UNI-004		NA	NA	connected graph, Cayley graph, spectrum of a graph, Hamilton path, Hamilton cycle
29	1024054612		2-s2.0-58249134076	3	1	0.33	4	2009	Marko Boben, Ñtefko Miklavi”, Primoñ Poto”nik	Consistent Cycles in 1/2-Arc-Transitive Graphs	Vol. 16	no. 1	R5 (10 str.)	NA	1077-8926	sherpa_romeo	The Electronic journal of combinatorics	18838,19284,21656	N0104,N0701,N0105	J1-9110,J1-9187,J7-8279,N1-0062	N01,N07,D,N0104	P1-0285,P1-0294	N01,N07	0101-001,0101-002,1539-010,1554-001,1669-001,2790-001,2975-001	N0101,N0103,N0102,N01,N,N03,N07	0101,0510,1539,1554,1669,1988,2790,2975	N01,T0707,T0705,N0201,N,N,N01,N	UNI-001,UNI-004		NA	NA	mathematics, graph theory, 1/2-arc-transitivity, consistent cycle
30	1024060481		2-s2.0-84903578236	0	0	0	0	2009	Kristijan Cafuta, Igor Klep, Janez Povh	Convex and positive noncommutative polynomials	NA	NA	Str. 65-76	NA				22353,22649,28255	N0104,N07,N0104	J1-8130,J1-8132,J1-8155,N1-0057,N1-0071	N0105,N0104,N0702,N0103,N0103	P1-0222,P2-0256	N01,T11	0101-001,0782-019,1538-031,1554-001,3779-001	N0101,T11,N0101,N01,N01	0101,0510,0782,1538,1554,3779	N01,T0707,T13,T03,N0201,N01	UNI-001		NA	NA	polynomials
31	1024069972		2-s2.0-57249095661	2	0	0	2	2008	Vito Vitrih	Lattices on tetrahedral partitions	Vol. 54	N. 2	str. 349-359	10.1007/s11565-008-0058-9	0430-3202	sherpa_romeo	Annali dell'Universita di Ferrara. Sezione 7. Scienze Matematiche	27559	N01	J1-9186	N07	P1-0285,P1-0404	N01,N01	1669-001,2790-001	N,N03	1669,1988,2790	N,N,N01	UNI-004		NA	NA	mreña, tetraeder, interpolacija, lattice, tetrahedron, interpolation
32	1024071508		2-s2.0-58149494124	2	5	1.67	7	2009	Jiangtao Shi, Wujie Shi, Cui Zhang	A note on p-nilpotence and solvability of finite groups	Vol. 321	no. 5	str. 1555-1560	10.1016/j.jalgebra.2008.12.004	0021-8693	sherpa_romeo	Journal of algebra	29597	N0104	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	p-nilpotent, solvable, supersolvable
33	1024071764		2-s2.0-67349185600	0	11	3.65	11	2009	Cui Zhang, Jinxin Zhou, Yanquan Feng	Automorphisms of cubic Cayley graphs of order 2pq	Issue 9	Vol. 309	str. 2687-2695	10.1016/j.disc.2008.06.023	0012-365X	sherpa_romeo	Discrete Mathematics	29597	N0104	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	symmetric graph, Cayley graph, normal Cayley graph
34	1024072020		2-s2.0-70450267745	4	3	0.99	7	2009	Henry H. Glover, Klavdija Kutnar, Dragan Maruîi”	Hamiltonian cycles in cubic Cayley graphs	Vol. 30	no. 4	str. 447-475	10.1007/s10801-009-0172-5	0925-9899	sherpa_romeo	Journal of algebraic combinatorics	2887,24997	N0104,N0104	J1-9108,J1-9110,J1-9186,N1-0062	N01,N01,N07,N0104	I0-0035,P1-0285	X,N01	0101-001,0588-002,1669-001,2790-001	N0101,D0103,N,N03	0101,0510,0588,1669,1988,2790	N01,T0707,D0103,N,N,N01	UNI-001,UNI-004		NA	NA	Hamiltonian cycle, Cayley graph, cubic arc-transitive graph, consistent cycle, cyclic edge connectivity
35	1024072276		2-s2.0-68049113241	4	16	8	20	2009	Klavdija Kutnar, Dragan Maruîi”	Hamilton cycles and paths in vertex-transitive graphs - current directions	Vol. 309	iss. 17	str. 5491-5500	10.1016/j.disc.2009.02.017	0012-365X	sherpa_romeo	Discrete Mathematics	2887,24997	N0104,N0104	J1-9108,J1-9110,J1-9186,N1-0062	N01,N01,N07,N0104	I0-0035,P1-0285	X,N01	0101-001,0588-002,1669-001,2790-001	N0101,D0103,N,N03	0101,0510,0588,1669,1988,2790	N01,T0707,D0103,N,N,N01	UNI-001,UNI-004		NA	NA	teorija grafov, Hamiltonov cikel, Hamiltonova pot, Cayleyjev graf, tranzitivni grafi, polregularnost, graph theory, Hamilton cycle, Hamilton path, vertex-transitive graph, Cayley graph, semiregular, imprimitive
36	1024073812		2-s2.0-61449182643	0	5	2.5	5	2009	Dragan Stevanoviü†, Marko Miloîevi“	A spectral proof of the uniqueness of a strongly regular graph with parameters (81, 20, 1, 6)	Vol. 30	no. 4	str. 957-968	10.1016/j.ejc.2008.07.021	0195-6698	sherpa_romeo	European journal of combinatorics	29820	N0105	NA	NA	P1-0285	N01	NA	NA	NA	NA	UNI-004		NA	NA	graph theory
37	1024082772		2-s2.0-68049099400	0	0	0	0	2009	Dragan Maruîi”	Special issue of discrete mathematics on Hamiltonicity problem for vertex-transitive (Cayley) graphs	Vol. 309	Issue 17	str. 5425	10.1016/j.disc.2009.02.021	0012-365X	sherpa_romeo	Discrete Mathematics	2887	N0104	J1-9108,N1-0062	N01,N0104	I0-0035,P1-0285	X,N01	0101-001,0588-002,1669-001,2790-001	N0101,D0103,N,N03	0101,0510,0588,1669,1988,2790	N01,T0707,D0103,N,N,N01	UNI-001,UNI-004		NA	NA	Hamilton cycle, Hamilton path, Vetrex-transitive graph, Cayley graph
38	1024085332		2-s2.0-70350093405	2	7	3.5	9	2010	Klavdija Kutnar, Primoñ Ñparl	Distance-transitive graphs admit semiregular automorphisms	Vol. 31	no. 1	str. 25-28	10.1016/j.ejc.2009.03.018	0195-6698	sherpa_romeo	European journal of combinatorics	23341,24997	N0104,N0104	J1-9108,J1-9110,J1-9186,N1-0062	N01,N01,N07,N0104	P1-0285	N01	0101-001,0588-002,1669-001,2790-001	N0101,D0103,N,N03	0101,0510,0588,1669,1988,2790	N01,T0707,D0103,N,N,N01	UNI-001,UNI-004		NA	NA	distance-transitive graph, vertex-transitive graph, semiregular automorphism, permutation group
39	1024085588		2-s2.0-67249097904	0	15	4.98	15	2009	Dragan Stevanoviü†, Ivan Stankovi“, Marko Miloîevi“	More on the relation between energy and Laplacian energy of graphs	Vol. 61	no. 2	str. 395-401	NA	0340-6253		MATCH Communications in Mathematical and in Computer Chemistry	29820	N0105	NA	NA	P1-0285	N01	NA	NA	NA	NA	UNI-004		NA	NA	Laplacian matrix, adjacency matrix, energy of a matrix
40	1024085844		2-s2.0-61849132489	7	35	35	42	2009	Dragan Stevanoviü†	Laplacian-like energy of trees	Vol. 61	no. 2	str. 407-417	NA	0340-6253		MATCH Communications in Mathematical and in Computer Chemistry	29820	N0105	NA	NA	P1-0285	N01	NA	NA	NA	NA	UNI-004		NA	NA	Laplacian matrix, energy of a matrix, tree
41	1024086100		2-s2.0-67249093300	0	5	1.66	5	2009	Ivan Stankovi“, Marko Miloîevi“, Dragan Stevanoviü†	Small and not so small equienergetic graphs	Vol. 61	no. 2	str. 443-450	NA	0340-6253		MATCH Communications in Mathematical and in Computer Chemistry	29820	N0105	NA	NA	P1-0285	N01	NA	NA	NA	NA	UNI-004		NA	NA	adjacency matrix, energy of a matrix, graphs with equal energy
